english,oshikwanyama
Now these are the names of the sons of Israel who came to Egypt with Jacob; each came with his household,"Ndele omadina ovana ovamati vaIsrael ava ve uya kuEgipiti oo aa; ovo ve uya pamwe naJakob, keshe umwe neumbo laye"
"Reuben, Simeon, Levi, and Judah; 3Issachar, Zebulun, and Benjamin; 4Dan and Naphtali, Gad, and Asher","Ruben, Simeon, Levi naJuda, 3Isaskar, Sebulon naBenjamin, 4Dan naNaftali, Gad naAsser"
All the descendants of Jacob were seventy people; Joseph was [already] in Egypt.,Neemwenyo adishe edi da dja momatundji aJakob odo oda li eemwenyo omilongo heyali. Ndelenee Josef okwa li muEgipiti
"Then Joseph died, and all his brothers and all that generation, 7but the Israelites were prolific and increased greatly","Ndele Josef okwa fya, novamwaxe vaye aveshe, nepupi alishe linya. 7Ndelenee Ovaisraeli va li ve noludalo ndele va ninga vahapu,"
"they multiplied and became extremely strong, so that the land was filled with them.",ndele va hapupala ndele va ninga vahapu neenghono nova yadifa oshilongo.
"Now a new king arose over Egypt, who did not know Joseph [nor the history of his accomplishments].","Opo nee ohamba ipe ya holoka tai pangele Egipiti, yo ya li inai shiiva Josef nande."
"He said to his people, “Behold, the people of the sons of Israel are too many and too mighty for us [they greatly outnumber us].","Yo oya lombwela ovanhu vayo: “Taleni, oshiwana shOvaisraeli osha ninga shinene shi neenghono shi tu dule."
"Come, let us deal shrewdly with them, so that they will not multiply and in the event of war, join our enemies, and fight against us and escape from the land.” ","Hano ileni, fye tu pangeleni omhangela momakoto oku va kondjifa, vo vaha dule okuhapupala, nongeenge hatu hangika koita, vo vaha ame kovatondadi vetu noku tu lwifa, ndele tava di mo moshilongo.”"
So they set taskmasters over them to oppress them with hard labor. And the sons of Israel built Pithom and Raamses as storage cities for Pharaoh. ,Opo nee vo ova pewa ovapashukili oku va hepeka noilonga idjuu. Ndele vo ova tungila Farao oituvikilwalando Pitom naRamses.
"But the more the Egyptians oppressed them, the more they multiplied and expanded, so that the Egyptians dreaded and were exasperated by the Israelites. ","Ndelenee okuhepekwa kwavo eshi kwa hapupala, nokuhapupala kwavo kwa ehena komesho, nova tandavela; opo Ovaegipiti va tila Ovaisraeli. "
And the Egyptians made the Israelites serve rigorously [forcing them into severe slavery].,"Onghee hano Ovaegipiti va fininika Ovaisraeli noilonga idjuu youpika,"
"They made their lives bitter with hard labor in mortar, brick, and all kinds of field work. All their labor was harsh and severe.","nokukalamwenyo kwavo kwa lulumikwa noilonga idjuu yomunoko needopi noilonga i lili nai lili momapya, heeno, noilonga i lili nai lili ve i fininikilwa ve i longe."
"Then the king of Egypt said to the Hebrew midwives, one of whom was named Shiphrah (beauty) and the other named Puah (splendor), ","Nohamba yaEgipiti ya lombwela ovadalifi Ovaheberi, umwe, edina laye Sifra nolamukwao Pua,"
"“When you act as midwives to the Hebrew women and see them on the birthstool, if it is a son, you shall kill him; but if it is a daughter, she shall live.” ","ndele tai ti: “Nye eshi tamu kwafa ovalikadi Ovaheberi mokudala omu nokutala pokudalifa, ngeenge okamati, mu noku ka dipaa, ndelenee ngeenge okakadona, naka kale nomwenyo.” "
"But the midwives feared God [with profound reverence] and did not do as the king of Egypt commanded, but they let the boy babies live.","Ndelenee ovadalifi ava va li ovatilikalunga noinava ninga ngaashi ohamba yaEgipiti ye va lombwela, ndelenee va efa ouhanana oumati va kale ve nomwenyo."
"So the king of Egypt called for the midwives and said to them, “Why have you done this thing, and allowed the boy babies to live?” ",Opo nee ohamba yaEgipiti ya ifana ovadalifi ndele tai ti kuvo: “Omolwashike mwe shi ninga nomwa efa ouhanana oumati va kale nomwenyo?”
"The midwives answered Pharaoh, “Because the Hebrew women are not like the Egyptian women; they are vigorous and give birth quickly and their babies are born before the midwife can get to them.” ","Novadalifi va lombwela Farao, tava ti: “Ovalikadi Ovaheberi hasho ve li ngaashi Ovaegipiti, osheshi venya ve neenghono, fimbo omudalifi ina fika kuvo, ova dala nokuli.”"
"So God was good to the midwives, and the people [of Israel] multiplied and became very strong. ",Ndelenee Kalunga okwa nangeka noupuna ovadalifi. Noshiwana osha hapupala nosha ninga shinene shi neenghono. 
"And because the midwives feared God [with profound reverence], He established families and households for them.","Ndele ovadalifi eshi va tila Kalunga, Ye okwe va pa oludalo lihapu."
"Then Pharaoh commanded all his people, saying, “Every son who is born [to the Hebrews] must be thrown into the Nile, but every daughter you shall keep alive.","Opo nee Farao okwa lombwela ovanhu vaye aveshe, ndele ta ti: “Ovana aveshe ovamati ava tava dalwa ve nokweekelwa muNil, ndelenee oukadona aveshe nava efuwe ve nomwenyo.”"
Now a man of the house of Levi [the priestly tribe] went and took as his wife a daughter of Levi. ,Nomulumenhu umwe womepata laLevi okwa ya nokwa hombola omona waLevi
"The woman conceived and gave birth to a son; and when she saw that he was [especially] beautiful and healthy, she hid him for three months [to protect him from the Egyptians].","Nomwalikadi a ninga oufimba nokwa dala okaana okamati. Ndele ye eshi a mona nokutya, ko okawa, ye e ka holeka eehani nhatu."
"When she could no longer hide him, she got him a basket (chest) made of papyrus reeds and covered it with tar and pitch [making it waterproof]. Then she put the child in it and set it among the reeds by the bank of the Nile. ","Ndelenee ye eshi ina dula vali oku ka holeka, okwe ka kufila okakefa komanenge nokwe ka hotifa eka, nokwa nangeka mo okaana ndele te ka tula momanenge pomunghulo waNil."
And his sister [Miriam] stood some distance away to find out what would happen to him.,"Nomumwaina wako okakadona okwa li kwinya konima kanini, e ka mone nhumbi taka ningwa."
"Now the daughter of Pharaoh came down to bathe at the Nile, and [she, together with] her maidens walked along the river’s bank; she saw the basket among the reeds and sent her maid [to get it], and she brought it to her.","Ndele okakadona omona waFarao okwa ya kuNil e ke likoshe mo, fimbo ovapiya vaye ovakainhu va endaenda komunghulo waNil. Ndele ye eshi a mona ko okakefa momanenge, okwa tuma ko omupiya waye nokwe ka kufa ko."
"When she opened it, she saw the child, and behold, the baby was crying. And she took pity on him and said, “This is one of the Hebrews’ children.”","Ye eshi e ka tuula, okwa mona okaana, ndele tala, ko oka li okaana okamati taka lili. Ndele ye okwe ka fila onghenda ndele ta ti: “Aka okamwe kounona oumati vOvaheberi.”"
